2020-03-24 16:01:29 | 1585036889.3362 | ERROR | ErrorNO: 9999
2020-03-24 16:01:29 | 1585036889.3397 | ERROR | Error: Table 'tongshang.sl_user' doesn't exist
2020-03-24 16:01:29 | 1585036889.3497 | ERROR | File: /project/miniSwoole/library/core/Model.php
2020-03-24 16:01:29 | 1585036889.3518 | ERROR | Line: 521
2020-03-24 16:01:29 | 1585036889.3537 | ERROR | SQL: SELECT `id`, `username`, `password` FROM `sl_user`
2020-03-24 16:01:29 | 1585036889.3557 | ERROR | ================================================================================
2020-03-24 16:02:02 | 1585036922.9683 | ERROR | ErrorNO: 9999
2020-03-24 16:02:02 | 1585036922.9729 | ERROR | Error: Table 'tongshang.sl_user' doesn't exist
2020-03-24 16:02:02 | 1585036922.9749 | ERROR | File: /project/miniSwoole/library/core/Model.php
2020-03-24 16:02:02 | 1585036922.9770 | ERROR | Line: 521
2020-03-24 16:02:02 | 1585036922.9791 | ERROR | SQL: SELECT `id`, `username`, `password` FROM `sl_user`
2020-03-24 16:02:02 | 1585036922.9811 | ERROR | ================================================================================
2020-03-24 16:02:06 | 1585036926.1747 | ERROR | ErrorNO: 9999
2020-03-24 16:02:06 | 1585036926.1771 | ERROR | Error: Table 'tongshang.sl_news' doesn't exist
2020-03-24 16:02:06 | 1585036926.1799 | ERROR | File: /project/miniSwoole/library/core/Model.php
2020-03-24 16:02:06 | 1585036926.1819 | ERROR | Line: 521
2020-03-24 16:02:06 | 1585036926.1841 | ERROR | SQL: SELECT * FROM `sl_news` LIMIT 0, 10
2020-03-24 16:02:06 | 1585036926.1860 | ERROR | ================================================================================
2020-03-24 16:04:31 | 1585037071.0852 | ERROR | ErrorNO: 9999
2020-03-24 16:04:31 | 1585037071.0893 | ERROR | Error: Table 'tongshang.sl_news' doesn't exist
2020-03-24 16:04:31 | 1585037071.0912 | ERROR | File: /project/miniSwoole/library/core/Model.php
2020-03-24 16:04:31 | 1585037071.0931 | ERROR | Line: 521
2020-03-24 16:04:31 | 1585037071.0950 | ERROR | SQL: SELECT * FROM `sl_news` LIMIT 0, 10
2020-03-24 16:04:31 | 1585037071.0969 | ERROR | ================================================================================
2020-03-24 16:04:33 | 1585037073.7818 | ERROR | ErrorNO: 9999
2020-03-24 16:04:33 | 1585037073.7841 | ERROR | Error: Table 'tongshang.sl_user' doesn't exist
2020-03-24 16:04:33 | 1585037073.7859 | ERROR | File: /project/miniSwoole/library/core/Model.php
2020-03-24 16:04:33 | 1585037073.7880 | ERROR | Line: 521
2020-03-24 16:04:33 | 1585037073.7898 | ERROR | SQL: SELECT `id`, `username`, `password` FROM `sl_user`
2020-03-24 16:04:33 | 1585037073.7915 | ERROR | ================================================================================
2020-03-24 16:05:04 | 1585037104.1816 | ERROR | ErrorNO: 9999
2020-03-24 16:05:04 | 1585037104.1862 | ERROR | Error: Table 'tongshang.sl_user' doesn't exist
2020-03-24 16:05:04 | 1585037104.1881 | ERROR | File: /project/miniSwoole/library/core/Model.php
2020-03-24 16:05:04 | 1585037104.1901 | ERROR | Line: 521
2020-03-24 16:05:04 | 1585037104.1919 | ERROR | SQL: SELECT `id`, `username`, `password` FROM `sl_user`
2020-03-24 16:05:04 | 1585037104.1941 | ERROR | ================================================================================
2020-03-24 16:05:05 | 1585037105.2756 | ERROR | ErrorNO: 9999
2020-03-24 16:05:05 | 1585037105.2778 | ERROR | Error: Table 'tongshang.sl_user' doesn't exist
2020-03-24 16:05:05 | 1585037105.2798 | ERROR | File: /project/miniSwoole/library/core/Model.php
2020-03-24 16:05:05 | 1585037105.2818 | ERROR | Line: 521
2020-03-24 16:05:05 | 1585037105.2838 | ERROR | SQL: SELECT `id`, `username`, `password` FROM `sl_user`
2020-03-24 16:05:05 | 1585037105.2859 | ERROR | ================================================================================
2020-03-24 16:05:07 | 1585037107.1125 | ERROR | ErrorNO: 9999
2020-03-24 16:05:07 | 1585037107.1148 | ERROR | Error: Table 'tongshang.sl_news' doesn't exist
2020-03-24 16:05:07 | 1585037107.1170 | ERROR | File: /project/miniSwoole/library/core/Model.php
2020-03-24 16:05:07 | 1585037107.1189 | ERROR | Line: 521
2020-03-24 16:05:07 | 1585037107.1209 | ERROR | SQL: SELECT * FROM `sl_news` LIMIT 0, 10
2020-03-24 16:05:07 | 1585037107.1228 | ERROR | ================================================================================
2020-03-24 16:05:10 | 1585037110.3385 | ERROR | ErrorNO: 9999
2020-03-24 16:05:10 | 1585037110.3413 | ERROR | Error: Table 'tongshang.sl_user' doesn't exist
2020-03-24 16:05:10 | 1585037110.3431 | ERROR | File: /project/miniSwoole/library/core/Model.php
2020-03-24 16:05:10 | 1585037110.3451 | ERROR | Line: 521
2020-03-24 16:05:10 | 1585037110.3471 | ERROR | SQL: SELECT `id`, `username`, `password` FROM `sl_user`
2020-03-24 16:05:10 | 1585037110.3491 | ERROR | ================================================================================
2020-03-24 16:05:13 | 1585037113.5709 | ERROR | ErrorNO: 9999
2020-03-24 16:05:13 | 1585037113.5731 | ERROR | Error: Table 'tongshang.sl_news' doesn't exist
2020-03-24 16:05:13 | 1585037113.5756 | ERROR | File: /project/miniSwoole/library/core/Model.php
2020-03-24 16:05:13 | 1585037113.5782 | ERROR | Line: 521
2020-03-24 16:05:13 | 1585037113.5802 | ERROR | SQL: SELECT * FROM `sl_news` LIMIT 0, 10
2020-03-24 16:05:13 | 1585037113.5823 | ERROR | ================================================================================
2020-03-24 17:10:08 | 1585041008.6019 | ERROR | ErrorNO: 9999
2020-03-24 17:10:08 | 1585041008.6055 | ERROR | Error: Table 'tongshang.sl_news' doesn't exist
2020-03-24 17:10:08 | 1585041008.6077 | ERROR | File: /project/miniSwoole/library/core/Model.php
2020-03-24 17:10:08 | 1585041008.6096 | ERROR | Line: 521
2020-03-24 17:10:08 | 1585041008.6114 | ERROR | SQL: SELECT * FROM `sl_news` LIMIT 0, 10
2020-03-24 17:10:08 | 1585041008.6132 | ERROR | ================================================================================
2020-03-24 17:12:14 | 1585041134.0917 | ERROR | ErrorNO: 9999
2020-03-24 17:12:14 | 1585041134.0958 | ERROR | Error: Table 'tongshang.sl_news' doesn't exist
2020-03-24 17:12:14 | 1585041134.0974 | ERROR | File: /project/miniSwoole/library/core/Model.php
2020-03-24 17:12:14 | 1585041134.0990 | ERROR | Line: 521
2020-03-24 17:12:14 | 1585041134.1008 | ERROR | SQL: SELECT * FROM `sl_news` LIMIT 0, 10
2020-03-24 17:12:14 | 1585041134.1028 | ERROR | ================================================================================
2020-03-24 17:12:22 | 1585041142.9361 | ERROR | ErrorNO: 9999
2020-03-24 17:12:22 | 1585041142.9389 | ERROR | Error: Table 'tongshang.sl_user' doesn't exist
2020-03-24 17:12:22 | 1585041142.9408 | ERROR | File: /project/miniSwoole/library/core/Model.php
2020-03-24 17:12:22 | 1585041142.9426 | ERROR | Line: 521
2020-03-24 17:12:22 | 1585041142.9445 | ERROR | SQL: SELECT `id`, `username`, `password` FROM `sl_user`
2020-03-24 17:12:22 | 1585041142.9465 | ERROR | ================================================================================
